open;high;low;close;volume;marketCap;timestamp
0.0487103725;0.0619280138;0.0491107568;0.0542878075;59.4135378071;153229.6094699791;"2010-07-13T00:00:00.000Z"
0.0735485076;0.0780314319;0.0644357282;0.069226477;535.04329908;239224.211514471;"2010-07-19T00:00:00.000Z"
0.0651144727;0.073044032;0.0604151285;0.06435698;1451.41368601;226184.887851071;"2010-07-25T00:00:00.000Z"
0.0650604214;0.0668175315;0.0482070615;0.056435737;2422.24603739;202219.1220695109;"2010-08-01T00:00:00.000Z"
0.057084511;0.0625505229;0.0472958246;0.0556737082;2450.34971776;202912.5764158309;"2010-08-07T00:00:00.000Z"
0.0587163632;0.0622853533;0.0497109957;0.058801365;4111.09895453;218804.2976322409;"2010-08-14T00:00:00.000Z"
0.0652820587;0.0665947741;0.0546320053;0.0614288771;3893.66177821;231480.905545771;"2010-08-20T00:00:00.000Z"
0.0648362733;0.06868028;0.0548301124;0.0620481007;8385.31312598;238188.706163661;"2010-08-27T00:00:00.000Z"
0.0583601811;0.0625148216;0.0471833632;0.0584348598;7603.17024732;227175.143569721;"2010-09-02T00:00:00.000Z"
0.056260824;0.0588545762;0.0467522877;0.0561015543;2184.21878505;220890.0555324609;"2010-09-08T00:00:00.000Z"
0.056750907;0.0821205781;0.0534871933;0.0748290124;3417.00058498;299085.9560685613;"2010-09-15T00:00:00.000Z"
0.0567278062;0.0699818509;0.0554614045;0.0561104679;5329.38556495;227768.176960511;"2010-09-21T00:00:00.000Z"
0.0568637978;0.0619787236;0.0522940609;0.0571401957;6620.29746164;236201.502484971;"2010-09-28T00:00:00.000Z"
0.05642603;0.0696914338;0.0524566628;0.0568686886;31625.2087253101;237468.006834611;"2010-10-04T00:00:00.000Z"
0.1058912888;0.1156574531;0.0950135405;0.1098296776;13181.1954474001;464687.998688682;"2010-10-11T00:00:00.000Z"
0.0951548336;0.1230475077;0.0915759965;0.0984480697;16941.8337607701;422642.0834204918;"2010-10-17T00:00:00.000Z"
0.1026762875;0.1482976891;0.1026762875;0.1186542985;12938.5293610701;518215.9801164622;"2010-10-24T00:00:00.000Z"
0.1774206436;0.1974847393;0.1667283926;0.1806763024;24814.9617455001;801312.9581272134;"2010-10-30T00:00:00.000Z"
0.225255917;0.2559415145;0.2112813129;0.2306318403;34221.8263856401;1036038.5927107744;"2010-11-05T00:00:00.000Z"
0.2173219615;0.2547732097;0.1927590555;0.2412578222;38050.4884859702;1102372.3320438748;"2010-11-12T00:00:00.000Z"
0.252712634;0.2840769014;0.2354556956;0.2602175581;34916.0274255601;1206960.603222815;"2010-11-18T00:00:00.000Z"
0.2674585353;0.2736275404;0.2276700801;0.26134276;1565.45246607;1226120.0516398952;"2010-11-25T00:00:00.000Z"
0.201377617;0.2669925238;0.201377617;0.2317265491;7595.84331637;1100440.4210262648;"2010-12-01T00:00:00.000Z"
0.2157122674;0.2590081571;0.2089867795;0.2211923638;3201.92482717;1067701.0707803946;"2010-12-08T00:00:00.000Z"
0.2146423022;0.259040685;0.2012776254;0.2248398967;9750.96905203;1096830.8481618448;"2010-12-14T00:00:00.000Z"
0.2475114838;0.2836519767;0.2250889563;0.249549556;8633.78475505;1232734.7769005452;"2010-12-21T00:00:00.000Z"
